Date,Returns,RF,Excess Returns,Cumulative Returns
2013-12-31,-0.004270726392873679,0.0,-0.004270726392873679,-0.004270726392873625
2014-03-31,0.03307824291010268,0.0,0.03307824291010268,0.028666248392202887
2014-06-30,0.025301890849948005,0.0,0.025301890849948005,0.054693449530047955
2014-09-30,0.008676835135917894,0.0,0.008676835135917894,0.06384485071055268
2014-12-31,0.016808908566332874,0.0,0.016808908566332874,0.08172692153491035
2015-03-31,0.014530002147636879,0.0,0.014530002147636879,0.09744441602796927
2015-06-30,-0.0363590920137377,0.0,-0.0363590920137377,0.05754233352564575
2015-09-30,0.009077493616227032,0.0,0.009077493616227032,0.06714216730711464
2015-12-31,-0.005551217718894521,0.0001,-0.005651217718894521,0.06121822879937988
2016-03-31,0.031015568032355292,0.0002,0.030815568032355294,0.0941325149718828
2016-06-30,0.0311462541232106,0.0002,0.0309462541232106,0.1282106443276645
2016-09-30,0.01588994110262281,0.0002,0.015689941102622812,0.14613784501738314
2016-12-31,-0.028403246323433575,0.0003,-0.028703246323433577,0.113583809484745
2017-03-31,0.016403573008720074,0.0003,0.016103573008720073,0.13185056280495644
2017-06-30,0.013316048496741627,0.0006,0.012716048496741628,0.14692233979033142
2017-09-30,0.02205876801183484,0.0009,0.02115876801183484,0.17222203361135735
2017-12-31,0.010369856197242292,0.0009,0.009469856197242292,0.18437780753114597
2018-03-31,-0.01679594743341324,0.0011,-0.01789594743341324,0.16448506013455155
2018-06-30,-0.007231972086796272,0.0014000000000000002,-0.008631972086796273,0.15606353668416717
2018-09-30,0.0005586648015454298,0.0015,-0.0009413351984545702,0.1567093886904627
2018-12-31,0.005348153092560504,0.002,0.003348153092560504,0.16289564758478137
2019-03-31,0.04154856953041025,0.0019,0.03964856953041025,0.21121229825506926
2019-06-30,0.03950425487206187,0.0018,0.03770425487206187,0.2590603375895133
2019-09-30,0.02554324072723939,0.0018,0.02374324072723939,0.2912208188826815
2019-12-31,0.0077290044447635075,0.0014000000000000002,0.006329004444763507,0.30120067033099684
2020-03-31,-0.020406645398985932,0.0013,-0.02170664539898593,0.27464752965862926
2020-06-30,0.10977255926787427,0.0001,0.10967255926787427,0.41456885115373066
2020-09-30,0.03510111929153357,0.0001,0.035001119291533565,0.46422180114416545
2020-12-31,0.032581327097971124,0.0001,0.03248132709797112,0.511928090591224
2021-03-31,-0.03557932189711487,0.0,-0.03557932189711487,0.45813471437078856
2021-06-30,0.036809100967325994,0.0,0.036809100967325994,0.5118073422960259
2021-09-30,0.00506362223266415,0.0,0.00506362223266415,0.5194625635659809
2021-12-31,0.0034077330547755322,0.0001,0.0033077330547755324,0.5246404863693386
2022-03-31,-0.07744275536956957,0.0001,-0.07754275536956957,0.4065681261568963
2022-06-30,-0.07544113333352437,0.0006,-0.07604113333352437,0.30045503260880846
2022-09-30,-0.04683203548862669,0.0019,-0.04873203548862669,0.23955207637030962
2022-12-31,0.039924337229601224,0.0033,0.03662433722960123,0.28904037148097017
2023-03-31,0.0429987454567492,0.0036,0.0393987454567492,0.3444674902977536
2023-06-30,-0.004501029605249712,0.004,-0.008501029605249712,0.33841600232062774
2023-09-30,-0.02489010478554052,0.0043,-0.029190104785540523,0.30510268777622307
2023-12-31,0.07827859138820699,0.0043,0.07397859138820699,0.4072642877923087
