Date,Returns,RF,Excess Returns,Cumulative Returns,Excess Returns Quarterly,Volatility,Sharpe Ratio,5% VaR,1% VaR,Max Drawdown
2013-12-31,-0.0042707263928736,0.0,-0.0042707263928736,-0.0042707263928736,-0.0042707263928736,0.03478648485152934,0.1731378729694678,0.0525320354886266,0.07754210655515141,-0.1872153146374437
2014-03-31,0.0330782429101026,0.0,0.0330782429101026,0.0286662483922028,0.0330782429101026,,,,,
2014-06-30,0.025301890849948,0.0,0.025301890849948,0.0546934495300479,0.025301890849948,,,,,
2014-09-30,0.0086768351359178,0.0,0.0086768351359178,0.0638448507105526,0.0086768351359178,,,,,
2014-12-31,0.0168089085663328,0.0,0.0168089085663328,0.0817269215349103,0.0168089085663328,,,,,
2015-03-31,0.0145300021476368,0.0,0.0145300021476368,0.0974444160279692,0.0145300021476368,,,,,
2015-06-30,-0.0363590920137377,0.0,-0.0363590920137377,0.0575423335256457,-0.0363590920137377,,,,,
2015-09-30,0.009077493616227,0.0,0.009077493616227,0.0671421673071146,0.009077493616227,,,,,
2015-12-31,-0.0055512177188945,0.0001,-0.0056512177188945,0.0612182287993798,-0.0058512177188945,,,,,
2016-03-31,0.0310155680323552,0.0002,0.0308155680323552,0.0941325149718828,0.0304155680323552,,,,,
2016-06-30,0.0311462541232106,0.0002,0.0309462541232106,0.1282106443276645,0.0305462541232106,,,,,
2016-09-30,0.0158899411026228,0.0002,0.0156899411026228,0.1461378450173831,0.0152899411026228,,,,,
2016-12-31,-0.0284032463234335,0.0003,-0.0287032463234335,0.113583809484745,-0.0293032463234335,,,,,
2017-03-31,0.01640357300872,0.0003,0.01610357300872,0.1318505628049564,0.015503573008720002,,,,,
2017-06-30,0.0133160484967416,0.0006,0.0127160484967416,0.1469223397903314,0.0115160484967416,,,,,
2017-09-30,0.0220587680118348,0.0009,0.0211587680118348,0.1722220336113573,0.0193587680118348,,,,,
2017-12-31,0.0103698561972422,0.0009,0.0094698561972422,0.1843778075311459,0.0076698561972422,,,,,
2018-03-31,-0.0167959474334132,0.0011,-0.0178959474334132,0.1644850601345515,-0.0200959474334132,,,,,
2018-06-30,-0.0072319720867962,0.0014,-0.0086319720867962,0.1560635366841671,-0.0114319720867962,,,,,
2018-09-30,0.0005586648015454,0.0015,-0.0009413351984545,0.1567093886904627,-0.003941335198454601,,,,,
2018-12-31,0.0053481530925605,0.002,0.0033481530925605,0.1628956475847813,-0.0006518469074395005,,,,,
2019-03-31,0.0415485695304102,0.0019,0.0396485695304102,0.2112122982550692,0.0358485695304102,,,,,
2019-06-30,0.0395042548720618,0.0018,0.0377042548720618,0.2590603375895133,0.0341042548720618,,,,,
2019-09-30,0.0255432407272393,0.0018,0.0237432407272393,0.2912208188826815,0.020143240727239296,,,,,
2019-12-31,0.0077290044447635,0.0014,0.0063290044447635,0.3012006703309968,0.0035290044447635,,,,,
2020-03-31,-0.0204066453989859,0.0013,-0.0217066453989859,0.2746475296586292,-0.0243066453989859,,,,,
2020-06-30,0.1097725592678742,0.0001,0.1096725592678742,0.4145688511537306,0.1094725592678742,,,,,
2020-09-30,0.0351011192915335,0.0001,0.0350011192915335,0.4642218011441654,0.0348011192915335,,,,,
2020-12-31,0.0325813270979711,0.0001,0.0324813270979711,0.511928090591224,0.032281327097971095,,,,,
2021-03-31,-0.0355793218971148,0.0,-0.0355793218971148,0.4581347143707885,-0.0355793218971148,,,,,
2021-06-30,0.0368091009673259,0.0,0.0368091009673259,0.5118073422960259,0.0368091009673259,,,,,
2021-09-30,0.0050636222326641,0.0,0.0050636222326641,0.5194625635659809,0.0050636222326641,,,,,
2021-12-31,0.0034077330547755,0.0001,0.0033077330547755,0.5246404863693386,0.0031077330547755002,,,,,
2022-03-31,-0.0774427553695695,0.0001,-0.0775427553695695,0.4065681261568963,-0.0777427553695695,,,,,
2022-06-30,-0.0754411333335243,0.0006,-0.0760411333335243,0.3004550326088084,-0.0772411333335243,,,,,
2022-09-30,-0.0468320354886266,0.0019,-0.0487320354886266,0.2395520763703096,-0.0525320354886266,,,,,
2022-12-31,0.0399243372296012,0.0033,0.0366243372296012,0.2890403714809701,0.030024337229601204,,,,,
2023-03-31,0.0429987454567492,0.0036,0.0393987454567492,0.3444674902977536,0.032198745456749195,,,,,
2023-06-30,-0.0045010296052497,0.004,-0.0085010296052497,0.3384160023206277,-0.0165010296052497,,,,,
2023-09-30,-0.0248901047855405,0.0043,-0.0291901047855405,0.305102687776223,-0.0377901047855405,,,,,
2023-12-31,0.0782785913882069,0.0043,0.0739785913882069,0.4072642877923087,0.06537859138820691,,,,,
